subjID	choice	gain	loss
1	2	100	0
1	3	50	0
1	2	100	0
1	2	100	0
1	2	100	0
1	2	100	0
1	2	100	0
1	2	100	0
1	2	100	0
1	2	100	1250
1	3	50	0
1	3	50	50
1	1	100	0
1	1	100	0
1	1	100	150
1	3	50	0
1	3	50	50
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	250
1	3	50	0
1	3	50	50
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	250
1	1	100	0
1	1	100	300
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	250
1	3	50	0
1	3	50	50
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	250
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	250
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	250
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	250
1	3	50	50
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	0
1	4	50	250
1	4	50	0
5	1	100	0
5	1	100	0
5	1	100	150
5	2	100	0
5	2	100	0
5	2	100	0
5	2	100	0
5	2	100	0
5	2	100	0
5	2	100	0
5	3	50	0
5	4	50	0
5	2	100	0
5	2	100	1250
5	3	50	0
5	3	50	50
5	3	50	0
5	3	50	50
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	250
5	2	100	0
5	2	100	0
5	2	100	0
5	4	50	0
5	4	50	0
5	4	50	0
5	2	100	0
5	4	50	0
5	4	50	0
5	4	50	0
5	2	100	1250
5	2	100	0
5	2	100	0
5	2	100	0
5	4	50	0
5	1	100	0
5	1	100	300
5	3	50	0
5	1	100	0
5	1	100	200
5	3	50	50
5	4	50	0
5	4	50	0
5	4	50	250
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	250
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	250
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	250
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	250
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	0
5	4	50	250
6	3	50	0
6	4	50	0
6	3	50	0
6	4	50	0
6	3	50	50
6	4	50	0
6	4	50	0
6	4	50	0
6	4	50	0
6	4	50	0
6	4	50	0
6	4	50	0
6	4	50	250
6	2	100	0
6	2	100	0
6	2	100	0
6	3	50	0
6	3	50	50
6	2	100	0
6	1	100	0
6	3	50	0
6	3	50	50
6	1	100	0
6	2	100	0
6	2	100	0
6	3	50	0
6	2	100	0
6	2	100	0
6	2	100	1250
6	3	50	50
6	3	50	50
6	1	100	150
6	3	50	0
6	3	50	25
6	3	50	75
6	4	50	0
6	4	50	0
6	4	50	0
6	4	50	0
6	4	50	0
6	3	50	0
6	3	50	0
6	3	50	0
6	3	50	25
6	2	100	0
6	2	100	0
6	1	100	0
6	1	100	300
6	3	50	75
6	2	100	0
6	4	50	0
6	4	50	0
6	4	50	0
6	4	50	0
6	1	100	0
6	1	100	200
6	1	100	0
6	1	100	250
6	3	50	0
6	3	50	50
6	4	50	250
6	2	100	0
6	2	100	1250
6	3	50	0
6	3	50	0
6	1	100	350
6	2	100	0
6	2	100	0
6	3	50	0
6	3	50	50
6	2	100	0
6	4	50	0
6	4	50	0
6	3	50	25
6	1	100	0
6	1	100	350
6	2	100	0
6	2	100	0
6	2	100	0
6	2	100	1250
6	2	100	0
6	3	50	50
6	4	50	0
6	1	100	0
6	1	100	250
6	3	50	0
6	3	50	0
6	3	50	75
6	3	50	50
6	4	50	0
6	4	50	0
6	4	50	0
6	3	50	0
6	3	50	0
6	3	50	0
6	4	50	0
6	3	50	25
6	4	50	0
6	2	100	0
6	4	50	250
7	1	100	0
7	1	100	0
7	2	100	0
7	1	100	150
7	2	100	0
7	2	100	0
7	1	100	0
7	1	100	300
7	2	100	0
7	2	100	0
7	4	50	0
7	4	50	0
7	2	100	0
7	2	100	0
7	2	100	0
7	3	50	0
7	2	100	1250
7	2	100	0
7	2	100	0
7	4	50	0
7	3	50	0
7	4	50	0
7	1	100	0
7	2	100	0
7	3	50	50
7	4	50	0
7	2	100	0
7	2	100	1250
7	1	100	200
7	4	50	0
7	2	100	0
7	3	50	0
7	2	100	0
7	4	50	0
7	3	50	50
7	1	100	0
7	1	100	250
7	4	50	0
7	4	50	0
7	4	50	250
7	1	100	350
7	2	100	0
7	3	50	0
7	3	50	50
7	3	50	0
7	3	50	50
7	3	50	50
7	4	50	0
7	2	100	0
7	3	50	0
7	3	50	25
7	3	50	75
7	1	100	0
7	4	50	0
7	3	50	0
7	2	100	0
7	3	50	0
7	4	50	0
7	3	50	0
7	3	50	25
7	3	50	75
7	3	50	0
7	3	50	50
7	1	100	350
7	3	50	0
7	2	100	0
7	3	50	0
7	3	50	0
7	3	50	50
7	3	50	25
7	3	50	50
7	3	50	0
7	2	100	1250
7	3	50	0
7	1	100	0
7	3	50	75
7	2	100	0
7	3	50	50
7	3	50	0
7	3	50	0
7	1	100	250
7	2	100	0
7	3	50	0
7	3	50	25
7	4	50	0
7	3	50	25
7	3	50	0
7	3	50	75
7	3	50	0
7	3	50	50
7	3	50	75
7	3	50	0
7	3	50	0
7	3	50	50
7	3	50	0
7	3	50	50
7	3	50	0
7	3	50	50
7	3	50	0
7	3	50	50
8	3	50	0
8	2	100	0
8	4	50	0
8	1	100	0
8	1	100	0
8	4	50	0
8	2	100	0
8	3	50	0
8	1	100	150
8	4	50	0
8	3	50	50
8	1	100	0
8	1	100	300
8	4	50	0
8	4	50	0
8	3	50	0
8	4	50	0
8	2	100	0
8	1	100	0
8	3	50	50
8	4	50	0
8	4	50	0
8	2	100	0
8	1	100	200
8	3	50	0
8	3	50	50
8	2	100	0
8	2	100	0
8	1	100	0
8	2	100	0
8	1	100	250
8	1	100	350
8	2	100	0
8	2	100	1250
8	4	50	0
8	2	100	0
8	3	50	0
8	4	50	250
8	2	100	0
8	1	100	0
8	1	100	350
8	4	50	0
8	3	50	50
8	1	100	0
8	4	50	0
8	2	100	0
8	4	50	0
8	1	100	250
8	3	50	50
8	4	50	0
8	2	100	0
8	2	100	1250
8	4	50	0
8	3	50	0
8	3	50	25
8	4	50	0
8	2	100	0
8	3	50	75
8	4	50	0
8	2	100	0
8	2	100	0
8	3	50	0
8	4	50	0
8	1	100	200
8	2	100	0
8	3	50	0
8	2	100	0
8	4	50	0
8	4	50	250
8	2	100	0
8	3	50	0
8	4	50	0
8	2	100	1250
8	4	50	0
8	2	100	0
8	3	50	25
8	3	50	75
8	3	50	0
8	2	100	0
8	2	100	0
8	3	50	50
8	1	100	0
8	4	50	0
8	4	50	0
8	2	100	0
8	1	100	300
8	3	50	0
8	2	100	0
8	4	50	0
8	3	50	0
8	4	50	0
8	2	100	0
8	1	100	150
8	3	50	0
8	4	50	0
8	2	100	0
8	1	100	0
8	3	50	50
8	4	50	0
8	4	50	250
11	2	100	0
11	2	100	0
11	3	50	0
11	2	100	0
11	4	50	0
11	1	100	0
11	1	100	0
11	1	100	150
11	2	100	0
11	2	100	0
11	2	100	0
11	3	50	0
11	2	100	0
11	4	50	0
11	2	100	0
11	2	100	1250
11	3	50	50
11	4	50	0
11	4	50	0
11	4	50	0
11	4	50	0
11	4	50	0
11	4	50	0
11	3	50	0
11	3	50	50
11	3	50	0
11	4	50	0
11	3	50	50
11	3	50	0
11	2	100	0
11	3	50	50
11	2	100	0
11	1	100	0
11	1	100	300
11	2	100	0
11	2	100	0
11	3	50	50
11	4	50	250
11	3	50	0
11	3	50	25
11	3	50	75
11	2	100	1250
11	3	50	0
11	3	50	0
11	3	50	0
11	3	50	25
11	3	50	75
11	1	100	0
11	1	100	200
11	3	50	0
11	3	50	50
11	1	100	0
11	3	50	0
11	3	50	0
11	4	50	0
11	3	50	0
11	4	50	0
11	4	50	0
11	3	50	50
11	3	50	25
11	3	50	50
11	3	50	0
11	3	50	0
11	3	50	75
11	4	50	0
11	4	50	0
11	4	50	0
11	4	50	0
11	4	50	0
11	4	50	0
11	4	50	250
11	3	50	50
11	3	50	0
11	3	50	0
11	3	50	0
11	3	50	25
11	3	50	25
11	3	50	0
11	3	50	75
11	4	50	0
11	3	50	0
11	4	50	0
11	3	50	50
11	4	50	0
11	3	50	75
11	4	50	0
11	2	100	0
11	3	50	0
11	4	50	0
11	3	50	0
11	4	50	0
11	3	50	50
11	4	50	0
11	3	50	0
11	3	50	50
11	4	50	0
11	3	50	0
11	4	50	250
11	3	50	50
11	3	50	0
12	3	50	0
12	3	50	0
12	1	100	0
12	4	50	0
12	3	50	50
12	2	100	0
12	1	100	0
12	1	100	150
12	4	50	0
12	4	50	0
12	4	50	0
12	4	50	0
12	4	50	0
12	2	100	0
12	2	100	0
12	2	100	0
12	2	100	0
12	2	100	0
12	2	100	0
12	2	100	0
12	2	100	1250
12	4	50	0
12	3	50	0
12	1	100	0
12	4	50	0
12	1	100	300
12	3	50	50
12	2	100	0
12	4	50	0
12	1	100	0
12	2	100	0
12	1	100	200
12	4	50	250
12	2	100	0
12	3	50	0
12	1	100	0
12	4	50	0
12	2	100	0
12	1	100	250
12	3	50	50
12	4	50	0
12	2	100	1250
12	4	50	0
12	1	100	350
12	3	50	0
12	2	100	0
12	4	50	0
12	2	100	0
12	3	50	50
12	2	100	0
12	1	100	0
12	4	50	0
12	1	100	350
12	2	100	0
12	4	50	0
12	2	100	0
12	1	100	0
12	3	50	50
12	4	50	0
12	4	50	0
12	1	100	250
12	2	100	0
12	4	50	0
12	4	50	250
12	2	100	1250
12	1	100	200
12	4	50	0
12	3	50	0
12	2	100	0
12	1	100	0
12	1	100	300
12	3	50	25
12	2	100	0
12	4	50	0
12	4	50	0
12	1	100	150
12	2	100	0
12	4	50	0
12	3	50	75
12	2	100	0
12	4	50	0
12	2	100	0
12	4	50	0
12	2	100	0
12	4	50	0
12	2	100	0
12	4	50	0
12	2	100	0
12	4	50	250
12	2	100	0
12	4	50	0
12	2	100	0
12	4	50	0
12	2	100	1250
12	2	100	0
12	4	50	0
